20;20;;;;
4;22;20;18;20;3
0;4;2;;;
0;5;2;;;
0;6;2;;;
0;7;2;;;
0;7;3;;;
0;7;4;;;
0;7;5;;;
0;7;6;;;
0;7;7;;;
0;6;7;;;
0;5;7;;;
0;4;7;;;
0;3;7;;;
0;2;7;;;
0;1;7;;;
0;1;6;;;
0;1;5;;;
0;1;4;;;
0;1;3;;;
0;1;2;;;
0;2;2;;;
0;3;2;;;
1;7;11;;;
1;7;12;;;
1;7;13;;;
1;8;13;;;
1;9;13;;;
1;10;13;;;
1;11;13;;;
1;11;12;;;
1;11;11;;;
1;11;10;;;
1;11;8;;;
1;11;7;;;
1;10;7;;;
1;9;7;;;
1;8;7;;;
1;7;7;;;
1;7;8;;;
1;7;9;;;
1;7;10;;;
1;11;9;;;
2;16;16;;;
2;15;16;;;
2;14;16;;;
2;13;16;;;
2;12;16;;;
2;11;16;;;
2;11;15;;;
2;11;14;;;
2;11;13;;;
2;12;13;;;
2;13;13;;;
2;14;13;;;
2;15;13;;;
2;16;13;;;
2;17;13;;;
2;17;14;;;
2;17;15;;;
2;17;16;;;
3;16;4;;;
3;16;5;;;
3;16;6;;;
3;16;7;;;
3;15;7;;;
3;14;7;;;
3;13;7;;;
3;12;7;;;
3;11;7;;;
3;11;6;;;
3;11;5;;;
3;11;4;;;
3;11;3;;;
3;11;2;;;
3;12;2;;;
3;13;2;;;
3;14;2;;;
3;15;2;;;
3;16;2;;;
3;16;3;;;
-1;7;7;0;1;
-1;11;7;1;3;
-1;11;13;1;2;
