25;25;;;
3;26;65;46;9
0;3;4;;
0;3;3;;
0;4;3;;
0;5;3;;
0;6;3;;
0;7;3;;
0;8;3;;
0;9;3;;
0;9;4;;
0;9;5;;
0;9;6;;
0;9;7;;
0;9;8;;
0;9;9;;
0;9;10;;
0;8;10;;
0;7;10;;
0;6;10;;
0;5;10;;
0;4;10;;
0;3;10;;
0;3;9;;
0;3;8;;
0;3;7;;
0;3;6;;
0;3;5;;
1;13;1;;
1;12;1;;
1;11;1;;
1;10;1;;
1;9;1;;
1;9;2;;
1;9;3;;
1;10;3;;
1;11;3;;
1;11;4;;
1;12;4;;
1;13;4;;
1;13;5;;
1;13;6;;
1;13;7;;
1;13;8;;
1;14;8;;
1;15;8;;
1;16;8;;
1;16;9;;
1;16;10;;
1;16;11;;
1;16;12;;
1;16;13;;
1;16;14;;
1;16;15;;
1;17;15;;
1;18;15;;
1;19;15;;
1;20;15;;
1;21;15;;
1;21;14;;
1;21;13;;
1;22;13;;
1;23;13;;
1;23;12;;
1;23;11;;
1;22;11;;
1;21;11;;
1;20;11;;
1;19;11;;
1;19;10;;
1;19;9;;
1;20;9;;
1;21;9;;
1;22;9;;
1;23;9;;
1;23;8;;
1;23;7;;
1;23;6;;
1;23;5;;
1;23;4;;
1;22;4;;
1;21;4;;
1;20;4;;
1;19;4;;
1;18;4;;
1;18;3;;
1;18;2;;
1;17;2;;
1;16;2;;
1;16;1;;
1;15;1;;
1;14;1;;
2;11;12;;
2;12;12;;
2;13;12;;
2;14;12;;
2;14;13;;
2;15;13;;
2;16;13;;
2;17;13;;
2;18;13;;
2;19;13;;
2;20;13;;
2;21;13;;
2;21;12;;
2;21;11;;
2;21;10;;
2;21;9;;
2;21;8;;
2;21;7;;
2;21;6;;
2;20;6;;
2;19;6;;
2;18;6;;
2;17;6;;
2;16;6;;
2;15;6;;
2;14;6;;
2;13;6;;
2;12;6;;
2;11;6;;
2;10;6;;
2;9;6;;
2;8;6;;
2;7;6;;
2;7;7;;
2;7;8;;
2;8;8;;
2;9;8;;
2;10;8;;
2;11;8;;
2;11;9;;
2;11;10;;
2;10;10;;
2;9;10;;
2;9;11;;
2;9;12;;
2;10;12;;
-1;9;3;0;1
-1;9;6;0;2
-1;9;8;0;2
-1;9;10;0;2
-1;13;6;1;2
-1;16;13;1;2
-1;21;9;1;2
-1;21;11;1;2
-1;21;13;1;2
