20;20
5;48;22;16;34;32;11
0;4;17
0;5;17
0;6;17
0;7;17
0;8;17
0;9;17
0;10;17
0;11;17
0;12;17
0;13;17
0;14;17
0;15;17
0;16;17
0;17;17
0;18;17
0;18;16
0;18;15
0;18;14
0;18;13
0;18;12
0;18;11
0;18;10
0;17;10
0;16;10
0;15;10
0;14;10
0;13;10
0;12;10
0;11;10
0;10;10
0;9;10
0;8;10
0;7;10
0;6;10
0;5;10
0;4;10
0;3;10
0;2;10
0;1;10
0;1;11
0;1;12
0;1;13
0;1;14
0;1;15
0;1;16
0;1;17
0;2;17
0;3;17
1;3;6
1;3;7
1;3;8
1;3;9
1;3;10
1;3;11
1;3;12
1;3;13
1;4;13
1;5;13
1;5;12
1;5;11
1;5;10
1;5;9
1;5;8
1;5;7
1;5;6
1;5;5
1;5;4
1;4;4
1;3;4
1;3;5
2;6;1
2;7;1
2;8;1
2;9;1
2;10;1
2;10;2
2;10;3
2;10;4
2;9;4
2;8;4
2;7;4
2;6;4
2;5;4
2;5;3
2;5;2
2;5;1
3;12;2
3;12;3
3;12;4
3;12;5
3;12;6
3;12;7
3;12;8
3;11;8
3;10;8
3;9;8
3;8;8
3;7;8
3;6;8
3;5;8
3;4;8
3;3;8
3;2;8
3;1;8
3;1;7
3;1;6
3;1;5
3;1;4
3;1;3
3;1;2
3;2;2
3;3;2
3;4;2
3;5;2
3;6;2
3;7;2
3;8;2
3;9;2
3;10;2
3;11;2
4;15;13
4;14;13
4;13;13
4;12;13
4;11;13
4;10;13
4;9;13
4;8;13
4;7;13
4;7;12
4;7;11
4;7;10
4;7;9
4;7;8
4;7;7
4;7;6
4;8;6
4;9;6
4;10;6
4;11;6
4;12;6
4;13;6
4;14;6
4;15;6
4;16;6
4;16;7
4;16;8
4;16;9
4;16;10
4;16;11
4;16;12
4;16;13
-1;3;8;1;3
-1;3;10;0;1
-1;5;2;2;3
-1;5;4;1;2
-1;5;8;1;3
-1;5;10;0;1
-1;7;8;3;4
-1;7;10;0;4
-1;10;2;2;3
-1;12;6;3;4
-1;16;10;0;4
