20;20
4;38;24;26;42;14
0;11;1
0;10;1
0;9;1
0;8;1
0;7;1
0;6;1
0;5;1
0;4;1
0;3;1
0;3;2
0;3;3
0;3;4
0;3;5
0;3;6
0;3;7
0;4;7
0;5;7
0;6;7
0;7;7
0;8;7
0;9;7
0;10;7
0;11;7
0;12;7
0;13;7
0;14;7
0;15;7
0;16;7
0;16;6
0;16;5
0;16;4
0;16;3
0;16;2
0;16;1
0;15;1
0;14;1
0;13;1
0;12;1
1;5;12
1;6;12
1;7;12
1;8;12
1;8;11
1;8;10
1;8;9
1;8;8
1;8;7
1;8;6
1;8;5
1;8;4
1;8;3
1;7;3
1;6;3
1;5;3
1;5;4
1;5;5
1;5;6
1;5;7
1;5;8
1;5;9
1;5;10
1;5;11
2;13;13
2;12;13
2;11;13
2;10;13
2;10;12
2;10;11
2;10;10
2;10;9
2;10;8
2;10;7
2;10;6
2;10;5
2;10;4
2;10;3
2;11;3
2;12;3
2;13;3
2;13;4
2;13;5
2;13;6
2;13;7
2;13;8
2;13;9
2;13;10
2;13;11
2;13;12
3;17;9
3;16;9
3;15;9
3;14;9
3;13;9
3;12;9
3;11;9
3;10;9
3;9;9
3;8;9
3;7;9
3;6;9
3;5;9
3;4;9
3;3;9
3;2;9
3;1;9
3;1;8
3;1;7
3;1;6
3;1;5
3;2;5
3;3;5
3;4;5
3;5;5
3;6;5
3;7;5
3;8;5
3;9;5
3;10;5
3;11;5
3;12;5
3;13;5
3;14;5
3;15;5
3;16;5
3;17;5
3;18;5
3;18;6
3;18;7
3;18;8
3;18;9
-1;3;5;0;3
-1;5;5;1;3
-1;5;7;0;1
-1;5;9;1;3
-1;8;5;1;3
-1;8;7;0;1
-1;8;9;1;3
-1;10;5;2;3
-1;10;7;0;2
-1;10;9;2;3
-1;13;5;2;3
-1;13;7;0;2
-1;13;9;2;3
-1;16;5;0;3
