25;25;;;;;;;
4;30;22;28;30;12;;;
0;6;7;;;;;;
0;7;7;;;;;;
0;8;7;;;;;;
0;9;7;;;;;;
0;10;7;;;;;;
0;11;7;;;;;;
0;12;7;;;;;;
0;13;7;;;;;;
0;14;7;;;;;;
0;15;7;;;;;;
0;16;7;;;;;;
0;16;8;;;;;;
0;16;9;;;;;;
0;16;10;;;;;;
0;16;11;;;;;;
0;16;12;;;;;;
0;15;12;;;;;;
0;14;12;;;;;;
0;13;12;;;;;;
0;12;12;;;;;;
0;11;12;;;;;;
0;10;12;;;;;;
0;9;12;;;;;;
0;8;12;;;;;;
0;7;12;;;;;;
0;6;12;;;;;;
0;6;11;;;;;;
0;6;10;;;;;;
0;6;9;;;;;;
0;6;8;;;;;;
1;6;6;;;;;;
1;5;6;;;;;;
1;4;6;;;;;;
1;4;7;;;;;;
1;4;8;;;;;;
1;4;9;;;;;;
1;4;10;;;;;;
1;4;11;;;;;;
1;5;11;;;;;;
1;6;11;;;;;;
1;7;11;;;;;;
1;8;11;;;;;;
1;9;11;;;;;;
1;10;11;;;;;;
1;10;10;;;;;;
1;10;9;;;;;;
1;10;8;;;;;;
1;10;7;;;;;;
1;10;6;;;;;;
1;9;6;;;;;;
1;8;6;;;;;;
1;7;6;;;;;;
2;17;12;;;;;;
2;17;13;;;;;;
2;17;14;;;;;;
2;16;14;;;;;;
2;15;14;;;;;;
2;14;14;;;;;;
2;13;14;;;;;;
2;12;14;;;;;;
2;11;14;;;;;;
2;10;14;;;;;;
2;9;14;;;;;;
2;8;14;;;;;;
2;8;13;;;;;;
2;8;12;;;;;;
2;8;11;;;;;;
2;8;10;;;;;;
2;8;9;;;;;;
2;9;9;;;;;;
2;10;9;;;;;;
2;11;9;;;;;;
2;12;9;;;;;;
2;13;9;;;;;;
2;14;9;;;;;;
2;15;9;;;;;;
2;16;9;;;;;;
2;17;9;;;;;;
2;17;10;;;;;;
2;17;11;;;;;;
3;15;5;;;;;;
3;14;5;;;;;;
3;13;5;;;;;;
3;13;6;;;;;;
3;13;7;;;;;;
3;13;8;;;;;;
3;13;9;;;;;;
3;13;10;;;;;;
3;13;11;;;;;;
3;13;12;;;;;;
3;13;13;;;;;;
3;13;14;;;;;;
3;13;15;;;;;;
3;14;15;;;;;;
3;15;15;;;;;;
3;16;15;;;;;;
3;17;15;;;;;;
3;18;15;;;;;;
3;18;14;;;;;;
3;18;13;;;;;;
3;18;12;;;;;;
3;18;11;;;;;;
3;18;10;;;;;;
3;18;9;;;;;;
3;18;8;;;;;;
3;17;8;;;;;;
3;16;8;;;;;;
3;15;8;;;;;;
3;15;7;;;;;;
3;15;6;;;;;;
-1;6;11;0;1;;;;
-1;8;11;1;2;;;;
-1;8;12;0;2;;;;
-1;10;7;0;1;;;;
-1;10;9;1;2;;;;
-1;13;7;0;3;;;;
-1;13;9;2;3;;;;
-1;13;12;0;3;;;;
-1;13;14;2;3;;;;
-1;15;7;0;3;;;;
-1;16;8;0;3;;;;
-1;16;9;0;2;;;;
